Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log Sales,Log Total assets
3D P L M Global Services Pvt. Ltd.,2014,,,,,-0.12,,,-133.33,,,,,-133.33,,,0,1.0986122886681098,3.4965075614664802
3D P L M Global Services Pvt. Ltd.,2015,1.1,0.28,1.13,8.13,0.24,15.23,4.54,10.18,10.38,1.01,46.45,83.16,17.53,26.28,11730.0,0,5.871836059652451,5.494295249789477
3D P L M Global Services Pvt. Ltd.,2016,2.85,0.22,0.38,4.86,0.19,224.0,3.09,19.04,18.97,2.68,59.08,92.94,24.49,40.19,64.89,0,6.371953669145969,5.7477993600729755
3D P L M Global Services Pvt. Ltd.,2017,3.81,0.14,0.2,2.63,0.25,13.9,2.08,22.24,22.58,3.52,47.57,60.06,26.75,38.48,17.84,0,6.536111719349483,6.224954390476336
3D P L M Global Services Pvt. Ltd.,2018,2.78,0.0,0.0,2.34,0.35,597.67,2.15,16.75,19.1,2.77,36.29,39.42,23.43,28.3,34.93,0,6.835722076082305,6.404401670054847
3D P L M Global Services Pvt. Ltd.,2019,2.81,0.26,0.46,2.27,0.23,9.39,1.79,17.5,17.9,2.78,32.03,40.63,26.75,25.45,31.31,0,7.108080460215667,7.014005398824796
3D P L M Global Services Pvt. Ltd.,2020,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.197435354096591,7.117124396874507
3D P L M Global Services Pvt. Ltd.,2021,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.197435354096591,7.117124396874507
3I Infotech Consultancy Services Ltd.,2008,1.03,0.0,0.0,196.63,0.1,,196.63,0.19,0.35,1.03,37.5,37.5,1.97,0.47,0.0,0,5.751301990624177,4.859812404361672
3I Infotech Consultancy Services Ltd.,2009,1.53,0.22,1.1,10.0,-0.22,28.77,4.79,8.0,12.17,1.53,38.29,80.0,14.27,13.45,109.79,0,6.492239835020471,6.486160788944089
3I Infotech Consultancy Services Ltd.,2010,1.62,0.29,0.72,4.33,0.3,2.12,2.32,4.36,3.48,1.62,10.17,19.01,8.1,5.48,9.83,0,6.586033714306832,6.225745842832648
3I Infotech Consultancy Services Ltd.,2011,1.63,0.31,0.72,4.14,-0.12,2.12,2.41,2.09,2.62,1.63,5.03,8.65,7.17,3.61,20.8,0,6.775023566528179,6.23166185298802
3I Infotech Consultancy Services Ltd.,2012,1.48,0.32,0.69,2.41,0.06,1.32,1.42,1.1,2.07,1.28,1.56,2.65,7.99,1.18,-38.65,0,6.286370464649083,6.189700462716007
3I Infotech Consultancy Services Ltd.,2013,1.5,0.35,0.66,2.76,0.07,1.2,1.65,0.71,-0.58,1.5,1.2,2.01,3.5,0.99,14.97,0,6.425840998710567,6.045715961939898
3I Infotech Consultancy Services Ltd.,2014,1.44,0.38,0.82,2.74,0.02,1.73,1.57,1.96,2.14,1.21,3.14,5.47,6.75,2.7,-1.83,0,6.407374913077685,6.160363083569796
3I Infotech Consultancy Services Ltd.,2015,1.39,0.31,0.74,2.88,-0.57,0.99,1.61,-0.17,0.53,1.39,-0.28,-0.49,4.97,-0.22,5.9,0,6.464744054800002,6.282827337399335
3I Infotech Consultancy Services Ltd.,2016,3.3,0.31,0.71,2.21,0.0,1.08,1.28,0.22,0.39,3.3,0.28,0.48,5.07,0.21,-20.82,0,6.231268539315299,6.274950327428353
3I Infotech Consultancy Services Ltd.,2017,3.16,0.33,0.77,1.55,0.0,0.71,0.89,-3.95,-4.21,3.15,-3.55,-6.17,5.9,-2.66,-31.35,0,5.855071922202427,6.240665632741481
3I Infotech Consultancy Services Ltd.,2018,3.93,0.0,0.0,2.24,0.0,0.71,1.63,1.71,1.73,3.92,2.8,3.85,1.58,2.01,41.83,0,6.20455776256869,5.802420444553201
3I Infotech Consultancy Services Ltd.,2019,4.62,0.0,0.0,2.56,0.0,0.71,2.56,2.09,2.52,4.57,5.36,5.36,2.52,3.7,19.6,0,6.3835066348840055,5.8239330757866625
3I Infotech Consultancy Services Ltd.,2020,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,6.4454023086669245,5.91350300563827
3I Infotech Consultancy Services Ltd.,2021,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,6.4454023086669245,5.91350300563827
63 Moons Technologies Ltd.,2000,6.68,0.0,0.0,0.73,0.04,,0.73,29.87,33.16,6.68,23.59,23.59,46.04,21.74,8142.86,0,5.153869462182164,6.243195555274104
63 Moons Technologies Ltd.,2001,3.51,0.0,0.0,0.16,-0.18,,0.16,-94.17,-86.09,3.51,-25.11,-25.16,-163.52,-21.83,-63.26,0,4.152613470346076,6.024173721517687
63 Moons Technologies Ltd.,2002,3.37,0.06,0.08,0.51,-0.15,6.43,0.49,2.58,15.44,3.37,1.35,1.39,7.12,1.09,118.55,0,4.9344739331306915,5.65704021210407
63 Moons Technologies Ltd.,2003,1.45,0.0,0.0,0.69,0.03,91.5,0.68,45.18,47.45,1.45,30.98,31.65,57.64,26.94,93.09,0,5.592478405097527,6.437271534499525
63 Moons Technologies Ltd.,2004,1.52,0.0,0.0,0.33,0.08,203.39333333333332,0.33,29.66,38.17,1.52,10.2,10.2,44.09,9.19,19.41,0,5.7698822763607245,7.336676463126643
63 Moons Technologies Ltd.,2005,0.37,0.0,0.0,0.63,0.24,315.28666666666663,0.63,47.48,58.42,0.37,32.2,32.2,63.51,26.22,183.62,0,6.812345094177479,7.611397196634724
63 Moons Technologies Ltd.,2006,4.49,0.61,2.19,0.59,0.02,427.18,0.26,55.18,64.88,4.49,25.88,58.03,40.26,22.21,12.53,0,6.930397009462962,8.869791838534347
63 Moons Technologies Ltd.,2007,9.91,0.2,0.27,0.17,-0.12,114.59,0.11,70.94,91.62,9.91,76.84,115.26,35.05,70.84,39.95,0,7.266478124538169,9.904786708267748
63 Moons Technologies Ltd.,2008,7.41,0.19,0.27,0.23,0.04,3321.71,0.18,50.93,65.51,7.41,17.95,22.8,52.09,16.55,152.58,0,8.193040753468544,10.093198407761937
63 Moons Technologies Ltd.,2009,4.63,0.15,0.2,0.18,0.04,22206.0,0.14,52.4,68.34,4.63,14.76,18.17,48.52,13.38,-8.03,0,8.109285101656933,10.21094284008685
63 Moons Technologies Ltd.,2010,1.41,0.15,0.2,0.17,-0.02,374.2,0.15,46.21,21.02,1.4,9.46,11.33,45.56,8.46,7.56,0,8.182195866577699,10.230053743037875
63 Moons Technologies Ltd.,2011,6.5,0.17,0.24,0.19,0.1,21.13,0.16,56.17,59.54,6.48,17.96,21.86,57.6,16.29,18.98,0,8.355967542917016,10.381288825979704
63 Moons Technologies Ltd.,2012,5.62,0.17,0.22,0.18,0.09,13.41,0.15,47.42,60.95,5.61,9.79,12.04,57.71,8.96,5.95,0,8.413808500308662,10.49129366169365
63 Moons Technologies Ltd.,2013,3.48,0.14,0.19,0.13,0.02,11.67,0.11,-38.1,-29.15,3.44,-7.63,-9.22,35.71,-6.91,-25.77,0,8.115849578267243,10.36904066792066
63 Moons Technologies Ltd.,2014,12.89,0.14,0.17,0.06,-0.06,9.93,0.05,8.21,26.48,12.77,4.34,5.14,-56.71,4.02,-51.89,0,7.38417577602395,10.444342741503798
63 Moons Technologies Ltd.,2015,7.83,0.15,0.18,0.05,-0.05,20.16,0.05,38.28,18.94,7.7,10.08,11.89,-61.32,9.56,-6.23,0,7.31986492980897,10.450484051115174
63 Moons Technologies Ltd.,2016,1.4,0.14,0.17,0.06,-0.03,5.98,0.05,20.26,18.37,1.27,2.59,3.05,-38.91,2.46,6.1,0,7.379070547652669,10.464844680601267
63 Moons Technologies Ltd.,2017,6.96,0.03,0.04,0.08,-0.01,18.08,0.07,17.07,15.77,6.68,2.37,2.62,3.93,2.26,46.68,0,7.762128053041303,10.3470413230134
63 Moons Technologies Ltd.,2018,15.66,0.0,0.0,0.05,-0.04,6.14,0.05,3.3,3.53,14.82,0.35,0.35,-53.39,0.33,-34.6,0,7.337522679613266,10.308789313970617
63 Moons Technologies Ltd.,2019,14.47,0.0,0.0,0.05,-0.04,60.9,0.05,6.14,-37.7,13.68,0.65,0.65,-57.83,0.62,-3.34,0,7.303506694902662,10.268432703839387
63 Moons Technologies Ltd.,2020,11.2,0.0,0.0,0.06,-0.01,19.98,0.06,2.51,-23.48,10.67,0.21,0.21,-31.46,0.2,1.88,0,7.322114054260421,10.255418260362662
63 Moons Technologies Ltd.,2021,11.2,0.0,0.0,0.06,-0.01,19.98,0.06,2.51,-23.48,10.67,0.21,0.21,-31.46,0.2,1.88,0,7.322114054260421,10.255418260362662
A B M Knowledgeware Ltd.,2000,0.61,0.05,0.06,1.48,0.02,,1.42,12.66,15.53,0.6,18.29,19.14,18.09,16.25,,0,4.754451888703846,4.794963757620747
A B M Knowledgeware Ltd.,2001,4.27,0.17,0.22,1.05,-0.13,22.2,0.93,5.71,9.76,4.09,5.54,6.23,10.74,4.68,220.92,0,4.647271362006727,4.923623917106626
A B M Knowledgeware Ltd.,2002,3.46,0.06,0.08,0.83,0.06,18.85,0.72,3.05,6.43,3.45,2.27,2.6,12.3,2.03,-17.35,0,4.456670177669648,4.875960390769654
A B M Knowledgeware Ltd.,2003,3.55,0.1,0.14,0.57,-0.09,15.5,0.52,5.7,9.14,3.54,3.05,3.37,11.61,2.61,-35.03,0,4.02535169073515,4.808111029984782
A B M Knowledgeware Ltd.,2004,3.85,0.03,0.04,0.63,0.0,12.15,0.58,1.69,2.87,3.85,1.01,1.1,5.54,0.84,3.21,0,4.056988775678332,4.751000634199631
A B M Knowledgeware Ltd.,2005,6.66,0.08,0.09,0.58,-0.07,8.8,0.55,4.32,7.01,6.65,2.43,2.59,22.04,2.11,-6.57,0,3.9889840465642745,4.71760561531788
A B M Knowledgeware Ltd.,2006,1.52,0.05,0.08,1.97,0.08,43.0,1.81,6.21,10.5,1.52,11.39,12.38,14.91,8.27,253.89,0,5.252796851246227,5.183467524869095
A B M Knowledgeware Ltd.,2007,2.16,0.0,0.0,2.42,0.12,57.416666666666664,2.35,19.92,30.36,2.16,47.45,48.99,32.56,28.26,62.48,0,5.738183901373533,5.583872177983643
A B M Knowledgeware Ltd.,2008,1.77,0.0,0.0,2.45,0.41,71.83333333333333,2.45,13.17,20.01,1.77,32.81,32.81,19.25,17.38,42.38,0,6.091536100832197,6.028760331851679
A B M Knowledgeware Ltd.,2009,2.38,0.0,0.0,1.81,0.03,86.25,1.81,15.87,23.63,2.38,29.5,29.5,22.84,16.47,-4.55,0,6.045005314036012,6.038109554931026
A B M Knowledgeware Ltd.,2010,1.83,0.0,0.0,1.9,-0.13,1583.0,1.89,17.93,26.84,1.83,34.53,34.6,26.33,20.98,37.42,0,6.362855674882395,6.377746835799372
A B M Knowledgeware Ltd.,2011,2.66,0.0,0.0,2.44,0.08,2272.0,2.44,15.01,21.79,2.66,37.03,37.09,22.17,24.15,75.39,0,6.924710719631551,6.5391523356065395
A B M Knowledgeware Ltd.,2012,3.88,0.0,0.0,1.38,0.05,929.5,1.38,16.68,24.59,3.82,23.37,23.37,25.93,17.33,-26.83,0,6.612309815912522,6.633581556555148
A B M Knowledgeware Ltd.,2013,2.82,0.0,0.0,1.24,0.07,1050.5,1.24,17.44,26.38,2.82,22.0,22.0,26.2,16.34,8.84,0,6.697034247666484,6.906954958811368
A B M Knowledgeware Ltd.,2014,3.16,0.0,0.0,1.15,0.07,1171.5,1.15,18.39,28.46,3.16,21.49,21.49,29.46,15.93,11.99,0,6.810252697620898,7.029087564149662
A B M Knowledgeware Ltd.,2015,7.11,0.0,0.0,0.93,0.25,1292.5,0.93,19.86,30.12,7.11,18.8,18.8,31.84,15.6,-4.02,0,6.769182629118197,7.029087564149662
A B M Knowledgeware Ltd.,2016,2.21,0.0,0.0,0.93,0.08,1413.5,0.93,16.3,25.08,2.2,15.63,15.63,25.77,11.55,25.97,0,7.000060949766163,7.624716637641337
A B M Knowledgeware Ltd.,2017,3.11,0.0,0.0,0.51,-0.09,1413.5,0.51,19.4,25.98,2.98,10.29,10.29,27.38,7.14,-34.69,0,6.574099073620405,7.589133475942083
A B M Knowledgeware Ltd.,2018,6.48,0.0,0.0,0.42,0.24,1413.5,0.42,23.05,32.37,5.81,10.34,10.34,33.57,8.16,-10.26,0,6.465833633863357,7.532837728627953
A B M Knowledgeware Ltd.,2019,4.62,0.0,0.0,0.44,0.04,1413.5,0.44,20.22,24.99,4.09,9.46,9.46,23.69,7.8,11.98,0,6.5789733956449306,7.638342742515928
A B M Knowledgeware Ltd.,2020,4.82,0.0,0.0,0.49,0.13,1413.5,0.49,21.49,28.4,4.51,11.03,11.03,27.26,8.95,19.52,0,6.757281165627302,7.739141503765848
A B M Knowledgeware Ltd.,2021,4.82,0.0,0.0,0.49,0.13,1413.5,0.49,21.49,28.4,4.51,11.03,11.03,27.26,8.95,19.52,0,6.757281165627302,7.739141503765848
A S M Technologies Ltd.,2000,1.21,0.32,0.81,3.52,0.2,1.13,1.83,0.47,0.38,1.0,0.97,1.86,5.05,0.76,106.77,0,5.336576078665127,5.01926462079431
A S M Technologies Ltd.,2001,0.97,0.32,0.9,2.21,0.09,2.96,1.19,-9.14,-8.16,0.79,-11.45,-21.2,9.59,-8.12,-38.79,0,4.845760650906022,5.01926462079431
A S M Technologies Ltd.,2002,0.72,0.34,1.35,1.24,0.02,4.789999999999999,0.6,-66.84,-34.44,0.68,-41.43,-86.06,-23.43,-26.53,-56.05,0,4.023564380161053,4.955827057601261
A S M Technologies Ltd.,2003,0.9,0.47,2.68,2.57,0.06,6.619999999999999,0.9,-25.98,-15.57,0.9,-23.61,-67.69,-1.85,-14.59,35.42,0,4.3267781604434035,4.872904620630176
A S M Technologies Ltd.,2004,1.07,0.46,1.78,6.98,0.17,8.45,2.19,3.05,9.11,1.07,6.73,21.4,14.1,4.56,136.99,0,5.1896179496246955,4.705015520957808
A S M Technologies Ltd.,2005,1.6,0.47,1.5,7.09,0.02,6.66,2.72,6.16,6.93,1.6,16.92,44.11,9.82,12.8,44.2,0,5.5556690891919835,4.9494688588587685
A S M Technologies Ltd.,2006,1.46,0.37,1.09,5.91,0.1,5.67,2.6,3.98,8.88,1.46,10.54,23.94,10.85,7.83,15.42,0,5.69910488510509,5.123368564083496
A S M Technologies Ltd.,2007,1.39,0.26,0.66,5.53,0.05,6.61,3.03,9.01,11.24,1.39,27.73,50.65,13.23,18.65,34.93,0,5.998688392197302,5.4289069362516384
A S M Technologies Ltd.,2008,1.47,0.28,0.63,4.4,0.06,5.49,2.68,8.13,9.94,1.47,21.91,35.98,13.52,15.13,14.74,0,6.1362140309941795,5.605066501717044
A S M Technologies Ltd.,2009,1.64,0.18,0.36,3.18,0.09,5.85,2.15,8.42,9.1,1.64,18.2,26.96,12.53,12.9,-7.44,0,6.0588895234227715,5.674010316322531
A S M Technologies Ltd.,2010,1.49,0.14,0.27,3.56,0.2,7.24,2.72,10.62,13.1,1.49,29.11,38.05,16.54,19.33,45.66,0,6.435027943814805,5.986452005284438
A S M Technologies Ltd.,2011,1.72,0.24,0.44,3.08,0.03,7.31,2.26,9.98,13.75,1.7,23.09,31.52,15.22,16.57,14.13,0,6.567234859514355,6.175659348283617
A S M Technologies Ltd.,2012,1.88,0.23,0.41,3.05,0.06,7.0,2.14,9.73,13.34,1.87,21.27,30.24,15.21,16.84,27.38,0,6.809260032233038,6.375024819828097
A S M Technologies Ltd.,2013,1.87,0.26,0.48,2.78,-0.03,7.35,1.92,9.27,13.1,1.87,18.17,26.29,14.7,14.7,15.22,0,6.950910549296065,6.6293632534374485
A S M Technologies Ltd.,2014,1.74,0.28,0.52,2.44,0.02,4.49,1.63,8.7,10.32,1.27,14.35,21.56,15.27,11.74,4.8,0,6.997778781629726,6.78975972074443
A S M Technologies Ltd.,2015,2.08,0.18,0.3,1.2,0.0,0.42,0.86,-4.12,23.61,0.82,-3.67,-5.16,0.81,-2.95,-42.38,0,6.446513155404975,6.847686752516018
A S M Technologies Ltd.,2016,12.39,0.01,0.01,1.36,0.38,9.63,1.17,9.12,13.07,8.36,10.79,12.57,15.5,8.2,17.68,0,6.60934924316738,6.596053700686136
A S M Technologies Ltd.,2017,4.95,0.1,0.15,1.45,0.01,33.45,1.33,4.67,9.16,3.67,6.38,6.9,9.0,4.69,2.68,0,6.635815313478964,6.707839853787134
A S M Technologies Ltd.,2018,4.0,0.11,0.16,1.4,0.01,13.92,1.22,7.39,11.55,2.86,9.41,10.86,9.27,7.16,1.29,0,6.648595873463558,6.743352222690527
A S M Technologies Ltd.,2019,3.35,0.16,0.27,1.49,-0.11,3.44,1.23,1.24,2.78,2.23,1.6,1.93,3.91,1.23,8.64,0,6.731495313566778,6.832169292025542
A S M Technologies Ltd.,2020,2.53,0.21,0.38,1.87,0.09,10.5,1.41,11.49,14.74,1.81,16.73,22.18,16.27,12.77,35.04,0,7.03191792160256,7.068001628124234
A S M Technologies Ltd.,2021,2.53,0.21,0.38,1.87,0.09,10.5,1.41,11.49,14.74,1.81,16.73,22.18,16.27,12.77,35.04,0,7.03191792160256,7.068001628124234
Accedere Ltd.,2001,,,,,0.0,,,0.0,,,,,8.11,,,0,1.308332819650179,3.763522997109702
Accedere Ltd.,2002,19.19,0.0,0.0,0.08,0.006666666666666667,,0.08,0.0,0.0,19.19,,,7.159999999999999,,-8.11,0,1.3173014896329391,3.75497925581846
Accedere Ltd.,2003,16.77,0.0,0.0,0.09,0.013333333333333334,,0.08,0.0,0.0,16.77,,,6.21,,2.94,0,1.3261904370501851,3.7463618895272988
Accedere Ltd.,2004,53.0,0.0,0.0,0.09,0.02,,0.09,0.0,0.0,53.0,0.0,0.0,5.26,0.0,8.57,0,1.33500106673234,3.7376696182833684
Accedere Ltd.,2005,73.2,0.0,0.0,0.02,0.015,,0.02,0.0,0.0,73.2,0.0,0.0,7.39,0.0,-73.68,0,1.0818051703517284,3.744787086052232
Accedere Ltd.,2006,28.23,0.0,0.0,0.05,0.01,,0.05,0.0,0.0,28.23,0.0,0.0,9.52,0.0,110.0,0,0.7419373447293773,3.751854253275325
Accedere Ltd.,2007,366.0,0.0,0.0,0.07,0.0,,0.07,0.0,3.7,366.0,0.0,0.0,7.41,0.0,28.57,0,0.9932517730102834,3.7256934272366524
Accedere Ltd.,2008,367.0,0.0,0.0,0.05,0.0,,0.05,0.0,5.26,367.0,0.0,0.0,5.26,0.0,-29.63,0,0.6418538861723947,3.7256934272366524
Accedere Ltd.,2009,366.0,0.0,0.0,0.02,-0.02,,0.02,0.0,0.0,366.0,0.0,0.0,10.0,0.0,-47.37,0,0.0,3.7256934272366524
Accedere Ltd.,2010,390.0,0.0,0.0,0.02,-0.01,,0.02,1.135,0.0,366.0,0.12,0.12,7.275,0.115,-10.0,0,0.9932517730102834,3.751854253275325
Accedere Ltd.,2011,87.2,0.0,0.0,0.1,0.0,,0.1,2.27,0.0,73.8,0.24,0.24,4.55,0.23,388.89,0,1.4816045409242156,3.7773481021015445
Accedere Ltd.,2012,40.89,0.0,0.0,0.04,0.0,,0.04,0.0,0.0,40.89,0.0,0.0,6.25,0.0,-63.64,0,0.47000362924573563,3.7864597824528
Accedere Ltd.,2013,23.44,0.01,0.01,0.01,0.0,,0.01,0.0,0.0,23.44,0.0,0.0,20.0,0.0,-68.75,0,-0.6931471805599453,3.8022081394209395
Accedere Ltd.,2014,22.12,0.01,0.01,0.03,0.0,,0.03,0.0,0.0,22.12,0.0,0.0,36.36,0.0,120.0,0,0.09531017980432493,3.8044377947482086
Accedere Ltd.,2015,23.44,0.01,0.01,0.02,0.0,,0.02,0.0,0.0,23.44,0.0,0.0,42.86,0.0,-36.36,0,-0.35667494393873245,3.8022081394209395
Accedere Ltd.,2016,62.67,0.02,0.03,0.01,-0.01,,0.01,-380.0,-380.0,62.67,-4.41,-4.5,60.0,-4.24,-28.57,0,-0.6931471805599453,3.8044377947482086
Accedere Ltd.,2017,17.59,0.01,0.01,0.16,0.04,,0.16,3.03,3.03,17.59,0.47,0.48,34.85,0.44,1220.0,0,1.8870696490323797,3.8308129500026027
Accedere Ltd.,2018,8.51,0.01,0.01,0.37,0.16,,0.36,1.9,2.53,8.51,0.71,0.72,16.99,0.63,131.82,0,2.72785282839839,3.885679030088544
Accedere Ltd.,2019,8.71,0.0,0.0,0.18,0.07,,0.18,-3.75,-5.0,8.71,-0.71,-0.72,25.97,-0.63,-49.67,0,2.0412203288596382,3.8501476017100584
Accedere Ltd.,2020,8.54,0.0,0.0,0.13,0.17,1.0,0.13,1.75,1.72,8.54,0.24,0.24,34.55,0.22,-28.57,0,1.7047480922384253,3.8264651170664994
Accedere Ltd.,2021,8.54,0.0,0.0,0.13,0.17,1.0,0.13,1.75,1.72,8.54,0.24,0.24,34.55,0.22,-28.57,0,1.7047480922384253,3.8264651170664994
Ace Software Exports Ltd.,2000,1.76,0.03,0.03,0.67,0.12,,0.63,26.1,26.67,1.08,16.74,17.83,35.14,14.86,32.82,0,3.9473901492654373,4.625952725170619
Ace Software Exports Ltd.,2001,2.59,0.0,0.0,0.61,0.12,,0.6,17.86,18.21,1.92,11.26,11.45,23.92,10.01,2.51,0,3.9721769282478934,4.617098756853365
Ace Software Exports Ltd.,2002,4.0,0.03,0.03,0.44,-0.02,,0.43,11.85,14.29,2.78,5.62,5.72,20.14,5.34,-20.53,0,3.742420221041966,4.674696248636701
Ace Software Exports Ltd.,2003,4.14,0.0,0.0,0.42,0.06,,0.42,13.45,14.23,3.4,6.6,6.7,11.24,6.27,3.32,0,3.775057150354989,4.740574822994295
Ace Software Exports Ltd.,2004,2.3,0.05,0.06,0.54,0.3,,0.53,15.02,17.04,2.04,8.39,8.63,17.6,7.89,35.55,0,4.079230924412053,4.826712455935327
Ace Software Exports Ltd.,2005,3.03,0.03,0.04,0.44,-0.03,,0.42,12.08,12.64,2.0,5.43,5.68,13.68,5.09,-15.91,0,3.906004933102583,4.845760650906022
Ace Software Exports Ltd.,2006,3.13,0.03,0.03,0.39,-0.04,,0.38,8.21,9.31,2.68,3.7,3.83,-0.22,3.46,-8.85,0,3.8133070324889884,4.848116364598481
Ace Software Exports Ltd.,2007,2.6,0.03,0.03,0.25,-0.15,,0.24,35.59,36.34,2.41,20.96,21.61,-20.2,19.64,-32.23,0,3.4242626545931514,4.979488565099419
Ace Software Exports Ltd.,2008,5.33,0.0,0.0,0.2,-0.14,,0.2,12.6,13.59,4.38,3.58,3.63,-10.41,3.41,-12.38,0,3.292126286607793,4.953712146696635
Ace Software Exports Ltd.,2009,12.53,0.0,0.0,0.14,0.15,,0.14,-7.84,-8.63,11.86,-1.46,-1.46,-40.21,-1.43,-29.74,0,2.9391619220655967,4.9344739331306915
Ace Software Exports Ltd.,2010,13.48,0.0,0.0,0.13,-0.12,30.0,0.13,8.98,8.98,8.27,2.12,2.12,-58.43,2.05,-5.82,0,2.8791984572980396,4.973279507552487
Ace Software Exports Ltd.,2011,12.33,0.0,0.0,0.19,0.04,25.5,0.19,11.04,11.04,7.35,2.64,2.64,-4.85,2.53,50.56,0,3.288401887516811,4.995183189537334
Ace Software Exports Ltd.,2012,8.86,0.01,0.01,0.27,0.01,21.0,0.27,8.72,8.95,5.93,2.69,2.71,5.44,2.61,44.03,0,3.653252276470785,5.021904886354487
Ace Software Exports Ltd.,2013,6.29,0.0,0.0,0.32,0.0,63.0,0.32,11.01,11.19,2.41,4.07,4.1,1.68,3.94,23.58,0,3.8649313978942956,5.0632277442154265
Ace Software Exports Ltd.,2014,2.75,0.0,0.0,0.39,0.045,21.0,0.39,12.02,6.03,0.48,5.5600000000000005,5.58,5.77,5.26,25.37,0,4.165113633110308,5.124856438186279
Ace Software Exports Ltd.,2015,3.06,0.0,0.0,0.5,0.09,116.0,0.5,13.03,13.24,1.19,7.05,7.06,9.86,6.58,35.62,0,4.395682961121367,5.182906515036709
Ace Software Exports Ltd.,2016,4.93,0.0,0.0,0.49,0.06,123.0,0.49,11.17,13.46,3.02,5.91,5.92,10.6,5.6,4.69,0,4.441474093317302,5.297316866214453
Ace Software Exports Ltd.,2017,3.31,0.0,0.0,0.48,0.0,129.0,0.48,12.21,13.02,1.91,6.55,6.55,6.27,6.13,3.3,0,4.473921899378137,5.38081858805978
Ace Software Exports Ltd.,2018,3.95,0.0,0.0,0.42,-0.04,76.5,0.42,7.64,7.64,0.9,3.74,3.74,-3.83,3.49,-7.64,0,4.394449154672439,5.384953673207583
Ace Software Exports Ltd.,2019,4.42,0.01,0.02,0.41,-0.17,24.0,0.4,2.76,-24.58,0.4,1.23,1.24,-4.26,1.16,-7.28,0,4.318820558770089,5.244916589820922
Ace Software Exports Ltd.,2020,5.45,0.0,0.0,0.5,-0.01,24.0,0.49,-0.34,-7.75,0.49,-0.17,-0.18,0.35,-0.16,13.18,0,4.442651256490317,5.235377566774162
Ace Software Exports Ltd.,2021,5.45,0.0,0.0,0.5,-0.01,24.0,0.49,-0.34,-7.75,0.49,-0.17,-0.18,0.35,-0.16,13.18,0,4.442651256490317,5.235377566774162
Adroit Infotech Ltd.,2000,1.19,0.0,0.0,0.07,0.19,,0.07,-102.91,-102.91,1.14,-11.26,-11.26,-148.53,-10.76,,0,1.916922612182061,4.563305981889393
Adroit Infotech Ltd.,2001,1.4,0.0,0.0,0.07,-0.07,,0.07,-127.4,-193.15,0.28,-10.77,-10.77,-34.38,-9.88,-5.88,0,1.8562979903656263,4.539030383483547
Adroit Infotech Ltd.,2002,2.37,0.0,0.0,0.37,-0.11,,0.37,-7.98,-15.64,2.24,-2.97,-2.97,12.58,-2.61,409.37,0,3.484312288372662,4.670021158307708
Adroit Infotech Ltd.,2003,2.37,0.0,0.0,0.37,-0.11,,0.37,-7.98,-15.64,2.24,-2.97,-2.97,12.58,-2.61,409.37,0,3.484312288372662,4.670021158307708
Adroit Infotech Ltd.,2004,2.165,0.0,0.0,0.49,0.0,,0.49,6.47,-4.23,1.2650000000000001,-0.355,-0.355,13.07,-0.48,200.435,0,4.695010889987881,5.1310814471721224
Adroit Infotech Ltd.,2005,1.96,0.0,0.0,0.61,0.05,73.0,0.61,3.69,7.18,0.29,2.26,2.26,17.38,1.65,-8.5,0,4.6061696863211745,5.633360010359655
Adroit Infotech Ltd.,2006,1.37,0.01,0.02,0.04,-0.16,58.666,0.04,-595.65,-291.67,0.15,-30.88,-31.11,-280.82,-20.1,-92.71,0,1.9878743481543455,5.586874056410478
Adroit Infotech Ltd.,2007,1.59,0.0,0.01,0.01,0.0,44.332,0.01,-675.0,-833.33,0.25,-5.41,-5.47,-175.0,-3.4,-83.56,0,0.1823215567939546,5.351858133476067
Adroit Infotech Ltd.,2008,1.81,0.03,0.04,0.0,-0.02,29.998000000000005,0.0,-314.29,-371.43,0.2,-1.52,-1.55,28.57,-0.99,-41.67,0,-0.35667494393873245,5.4608612957333165
Adroit Infotech Ltd.,2009,1.63,0.0,0.0,0.0,0.02,15.664000000000001,0.0,-2400.0,-2400.0,0.18,-1.69,-1.72,61.785000000000004,-1.02,3.8866666666666703,0,0.30010459245033816,5.4693251634417175
Adroit Infotech Ltd.,2010,99.87,0.0,0.0,0.01,0.0,1.33,0.01,5.0,5.0,10.38,0.07,0.07,95.0,0.04,49.44333333333334,0,0.6931471805599453,5.469746482175568
