Company Name,Inc Year,Delete Flag,Acquisition Flag,2000-Free Cash Flow Return,2001-Free Cash Flow Return,2002-Free Cash Flow Return,2003-Free Cash Flow Return,2004-Free Cash Flow Return,2005-Free Cash Flow Return,2006-Free Cash Flow Return,2007-Free Cash Flow Return,2008-Free Cash Flow Return,2009-Free Cash Flow Return,2010-Free Cash Flow Return,2011-Free Cash Flow Return,2012-Free Cash Flow Return,2013-Free Cash Flow Return,2014-Free Cash Flow Return,2015-Free Cash Flow Return,2016-Free Cash Flow Return,2017-Free Cash Flow Return,2018-Free Cash Flow Return,2019-Free Cash Flow Return,2020-Free Cash Flow Return,2021-Free Cash Flow Return,2000-Debt to Asset ratio,2001-Debt to Asset ratio,2002-Debt to Asset ratio,2003-Debt to Asset ratio,2004-Debt to Asset ratio,2005-Debt to Asset ratio,2006-Debt to Asset ratio,2007-Debt to Asset ratio,2008-Debt to Asset ratio,2009-Debt to Asset ratio,2010-Debt to Asset ratio,2011-Debt to Asset ratio,2012-Debt to Asset ratio,2013-Debt to Asset ratio,2014-Debt to Asset ratio,2015-Debt to Asset ratio,2016-Debt to Asset ratio,2017-Debt to Asset ratio,2018-Debt to Asset ratio,2019-Debt to Asset ratio,2020-Debt to Asset ratio,2021-Debt to Asset ratio,2000-Return on sales,2001-Return on sales,2002-Return on sales,2003-Return on sales,2004-Return on sales,2005-Return on sales,2006-Return on sales,2007-Return on sales,2008-Return on sales,2009-Return on sales,2010-Return on sales,2011-Return on sales,2012-Return on sales,2013-Return on sales,2014-Return on sales,2015-Return on sales,2016-Return on sales,2017-Return on sales,2018-Return on sales,2019-Return on sales,2020-Return on sales,2021-Return on sales,2000-Return on equity,2001-Return on equity,2002-Return on equity,2003-Return on equity,2004-Return on equity,2005-Return on equity,2006-Return on equity,2007-Return on equity,2008-Return on equity,2009-Return on equity,2010-Return on equity,2011-Return on equity,2012-Return on equity,2013-Return on equity,2014-Return on equity,2015-Return on equity,2016-Return on equity,2017-Return on equity,2018-Return on equity,2019-Return on equity,2020-Return on equity,2021-Return on equity,2000-Net profit margin,2001-Net profit margin,2002-Net profit margin,2003-Net profit margin,2004-Net profit margin,2005-Net profit margin,2006-Net profit margin,2007-Net profit margin,2008-Net profit margin,2009-Net profit margin,2010-Net profit margin,2011-Net profit margin,2012-Net profit margin,2013-Net profit margin,2014-Net profit margin,2015-Net profit margin,2016-Net profit margin,2017-Net profit margin,2018-Net profit margin,2019-Net profit margin,2020-Net profit margin,2021-Net profit margin,2000-Current ratio (times),2001-Current ratio (times),2002-Current ratio (times),2003-Current ratio (times),2004-Current ratio (times),2005-Current ratio (times),2006-Current ratio (times),2007-Current ratio (times),2008-Current ratio (times),2009-Current ratio (times),2010-Current ratio (times),2011-Current ratio (times),2012-Current ratio (times),2013-Current ratio (times),2014-Current ratio (times),2015-Current ratio (times),2016-Current ratio (times),2017-Current ratio (times),2018-Current ratio (times),2019-Current ratio (times),2020-Current ratio (times),2021-Current ratio (times),2000-Return on total assets,2001-Return on total assets,2002-Return on total assets,2003-Return on total assets,2004-Return on total assets,2005-Return on total assets,2006-Return on total assets,2007-Return on total assets,2008-Return on total assets,2009-Return on total assets,2010-Return on total assets,2011-Return on total assets,2012-Return on total assets,2013-Return on total assets,2014-Return on total assets,2015-Return on total assets,2016-Return on total assets,2017-Return on total assets,2018-Return on total assets,2019-Return on total assets,2020-Return on total assets,2021-Return on total assets,2000-Sales Growth Over Past Year,2001-Sales Growth Over Past Year,2002-Sales Growth Over Past Year,2003-Sales Growth Over Past Year,2004-Sales Growth Over Past Year,2005-Sales Growth Over Past Year,2006-Sales Growth Over Past Year,2007-Sales Growth Over Past Year,2008-Sales Growth Over Past Year,2009-Sales Growth Over Past Year,2010-Sales Growth Over Past Year,2011-Sales Growth Over Past Year,2012-Sales Growth Over Past Year,2013-Sales Growth Over Past Year,2014-Sales Growth Over Past Year,2015-Sales Growth Over Past Year,2016-Sales Growth Over Past Year,2017-Sales Growth Over Past Year,2018-Sales Growth Over Past Year,2019-Sales Growth Over Past Year,2020-Sales Growth Over Past Year,2021-Sales Growth Over Past Year,2000-Return on capital employed,2001-Return on capital employed,2002-Return on capital employed,2003-Return on capital employed,2004-Return on capital employed,2005-Return on capital employed,2006-Return on capital employed,2007-Return on capital employed,2008-Return on capital employed,2009-Return on capital employed,2010-Return on capital employed,2011-Return on capital employed,2012-Return on capital employed,2013-Return on capital employed,2014-Return on capital employed,2015-Return on capital employed,2016-Return on capital employed,2017-Return on capital employed,2018-Return on capital employed,2019-Return on capital employed,2020-Return on capital employed,2021-Return on capital employed,2000-Invested Capital Turnover,2001-Invested Capital Turnover,2002-Invested Capital Turnover,2003-Invested Capital Turnover,2004-Invested Capital Turnover,2005-Invested Capital Turnover,2006-Invested Capital Turnover,2007-Invested Capital Turnover,2008-Invested Capital Turnover,2009-Invested Capital Turnover,2010-Invested Capital Turnover,2011-Invested Capital Turnover,2012-Invested Capital Turnover,2013-Invested Capital Turnover,2014-Invested Capital Turnover,2015-Invested Capital Turnover,2016-Invested Capital Turnover,2017-Invested Capital Turnover,2018-Invested Capital Turnover,2019-Invested Capital Turnover,2020-Invested Capital Turnover,2021-Invested Capital Turnover,2000-Debt to equity ratio (times),2001-Debt to equity ratio (times),2002-Debt to equity ratio (times),2003-Debt to equity ratio (times),2004-Debt to equity ratio (times),2005-Debt to equity ratio (times),2006-Debt to equity ratio (times),2007-Debt to equity ratio (times),2008-Debt to equity ratio (times),2009-Debt to equity ratio (times),2010-Debt to equity ratio (times),2011-Debt to equity ratio (times),2012-Debt to equity ratio (times),2013-Debt to equity ratio (times),2014-Debt to equity ratio (times),2015-Debt to equity ratio (times),2016-Debt to equity ratio (times),2017-Debt to equity ratio (times),2018-Debt to equity ratio (times),2019-Debt to equity ratio (times),2020-Debt to equity ratio (times),2021-Debt to equity ratio (times),2000-Pre Tax Margin,2001-Pre Tax Margin,2002-Pre Tax Margin,2003-Pre Tax Margin,2004-Pre Tax Margin,2005-Pre Tax Margin,2006-Pre Tax Margin,2007-Pre Tax Margin,2008-Pre Tax Margin,2009-Pre Tax Margin,2010-Pre Tax Margin,2011-Pre Tax Margin,2012-Pre Tax Margin,2013-Pre Tax Margin,2014-Pre Tax Margin,2015-Pre Tax Margin,2016-Pre Tax Margin,2017-Pre Tax Margin,2018-Pre Tax Margin,2019-Pre Tax Margin,2020-Pre Tax Margin,2021-Pre Tax Margin,2000-Interest Coverage Ratio,2001-Interest Coverage Ratio,2002-Interest Coverage Ratio,2003-Interest Coverage Ratio,2004-Interest Coverage Ratio,2005-Interest Coverage Ratio,2006-Interest Coverage Ratio,2007-Interest Coverage Ratio,2008-Interest Coverage Ratio,2009-Interest Coverage Ratio,2010-Interest Coverage Ratio,2011-Interest Coverage Ratio,2012-Interest Coverage Ratio,2013-Interest Coverage Ratio,2014-Interest Coverage Ratio,2015-Interest Coverage Ratio,2016-Interest Coverage Ratio,2017-Interest Coverage Ratio,2018-Interest Coverage Ratio,2019-Interest Coverage Ratio,2020-Interest Coverage Ratio,2021-Interest Coverage Ratio,2000-Quick ratio (times),2001-Quick ratio (times),2002-Quick ratio (times),2003-Quick ratio (times),2004-Quick ratio (times),2005-Quick ratio (times),2006-Quick ratio (times),2007-Quick ratio (times),2008-Quick ratio (times),2009-Quick ratio (times),2010-Quick ratio (times),2011-Quick ratio (times),2012-Quick ratio (times),2013-Quick ratio (times),2014-Quick ratio (times),2015-Quick ratio (times),2016-Quick ratio (times),2017-Quick ratio (times),2018-Quick ratio (times),2019-Quick ratio (times),2020-Quick ratio (times),2021-Quick ratio (times),2000-Equity turnover,2001-Equity turnover,2002-Equity turnover,2003-Equity turnover,2004-Equity turnover,2005-Equity turnover,2006-Equity turnover,2007-Equity turnover,2008-Equity turnover,2009-Equity turnover,2010-Equity turnover,2011-Equity turnover,2012-Equity turnover,2013-Equity turnover,2014-Equity turnover,2015-Equity turnover,2016-Equity turnover,2017-Equity turnover,2018-Equity turnover,2019-Equity turnover,2020-Equity turnover,2021-Equity turnover,2000-Log Total assets,2001-Log Total assets,2002-Log Total assets,2003-Log Total assets,2004-Log Total assets,2005-Log Total assets,2006-Log Total assets,2007-Log Total assets,2008-Log Total assets,2009-Log Total assets,2010-Log Total assets,2011-Log Total assets,2012-Log Total assets,2013-Log Total assets,2014-Log Total assets,2015-Log Total assets,2016-Log Total assets,2017-Log Total assets,2018-Log Total assets,2019-Log Total assets,2020-Log Total assets,2021-Log Total assets,2000-Log Sales,2001-Log Sales,2002-Log Sales,2003-Log Sales,2004-Log Sales,2005-Log Sales,2006-Log Sales,2007-Log Sales,2008-Log Sales,2009-Log Sales,2010-Log Sales,2011-Log Sales,2012-Log Sales,2013-Log Sales,2014-Log Sales,2015-Log Sales,2016-Log Sales,2017-Log Sales,2018-Log Sales,2019-Log Sales,2020-Log Sales,2021-Log Sales
3D P L M Global Services Pvt. Ltd.,2014,TBAG50L80,No,,,,,,,,,,,,,,,-0.12,0.24,0.19,0.25,0.35,0.23,0.3,0.3,,,,,,,,,,,,,,,,0.28,0.22,0.14,0.0,0.26,0.21,0.21,,,,,,,,,,,,,,,-133.33,17.53,24.49,26.75,23.43,26.75,24.51,24.51,,,,,,,,,,,,,,,,83.16,92.94,60.06,39.42,40.63,19.84,19.84,,,,,,,,,,,,,,,-133.33,10.18,19.04,22.24,16.75,17.5,10.31,10.31,,,,,,,,,,,,,,,,1.1,2.85,3.81,2.78,2.81,4.22,4.22,,,,,,,,,,,,,,,,26.28,40.19,38.48,28.3,25.45,11.83,11.83,,,,,,,,,,,,,,,,11730.0,64.89,17.84,34.93,31.31,9.35,9.35,,,,,,,,,,,,,,,,46.45,59.08,47.57,36.29,32.03,14.24,14.24,,,,,,,,,,,,,,,,4.54,3.09,2.08,2.15,1.79,1.37,1.37,,,,,,,,,,,,,,,,1.13,0.38,0.2,0.0,0.46,0.34,0.34,,,,,,,,,,,,,,,,10.38,18.97,22.58,19.1,17.9,16.43,16.43,,,,,,,,,,,,,,,,15.23,224.0,13.9,597.67,9.39,9.23,9.23,,,,,,,,,,,,,,,,1.01,2.68,3.52,2.77,2.78,4.19,4.19,,,,,,,,,,,,,,,,8.13,4.86,2.63,2.34,2.27,1.91,1.91,,,,,,,,,,,,,,,3.4965075614664802,5.494295249789477,5.7477993600729755,6.224954390476336,6.404401670054847,7.014005398824796,7.117124396874507,7.117124396874507,,,,,,,,,,,,,,,1.0986122886681098,5.871836059652451,6.371953669145969,6.536111719349483,6.835722076082305,7.108080460215667,7.197435354096591,7.197435354096591
3I Infotech B P O Ltd.,1990,TBAG30L50,No,,,,,,,,,,0.9,-1.04,-0.04,0.05,-0.24,0.29,0.05,0.02,0.04,-0.01,0.0,0.07,0.07,,,,,,,,,0.14,0.01,0.04,0.08,0.07,0.25,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,11.53,7.97,4.61,4.91,4.3,9.28,5.68,-0.9,-2.35,-0.77,-0.02,2.52,2.52,,,,,,,,,,-1.24,2.9,2.76,3.95,2.99,9.05,-0.29,0.58,2.24,3.12,3.52,6.98,6.98,,,,,,,,,,-0.49,3.88,1.91,1.99,1.56,5.37,-0.19,0.51,2.06,2.67,2.91,6.58,6.58,,,,,,,,,1.44,0.09,3.06,1.71,1.52,0.4,0.34,2.46,2.5,2.73,1.79,2.97,3.37,3.37,,,,,,,,,,-0.1,1.4,2.06,2.52,1.62,4.43,-0.16,0.37,1.49,2.38,3.06,6.17,6.17,,,,,,,,,-25.03,-21.49,262.82,192.98,8.55,-4.64,-12.39,-2.64,-20.74,-3.33,8.78,7.77,-11.54,-11.54,,,,,,,,,,-0.97,2.74,2.55,3.54,2.25,6.21,-0.24,0.56,2.24,3.12,3.52,6.97,6.97,,,,,,,,,1.94,1.87,0.7,1.3,1.76,1.39,1.07,1.17,1.06,1.04,1.11,1.16,0.97,0.97,,,,,,,,,0.36,0.2,0.05,0.13,0.11,0.55,0.37,0.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-17.52,0.33,5.61,3.05,2.88,2.3,7.0,2.48,0.88,1.89,3.46,4.17,10.1,10.1,,,,,,,,,,1.33,17.2,4.27,3.88,1.66,2.09,1.1,3.38,26.0,205.0,203.0,481.0,481.0,,,,,,,,,1.44,0.09,3.05,1.6,1.46,0.38,0.26,1.09,0.83,1.29,1.78,2.94,3.32,3.32,,,,,,,,,2.36,2.4,0.74,1.41,1.96,1.84,1.56,1.43,1.09,1.04,1.11,1.16,0.97,0.97,,,,,,,,,,6.248042874508429,6.486618001479677,6.250361268128009,6.314272421535137,6.614323374549749,6.610830625163423,6.410339342126064,6.436791188641277,6.37434315654335,6.193792958708272,6.184148890937483,6.259390241194085,6.259390241194085,,,,,,,,,,4.062165663857866,5.350909816667207,6.425840998710567,6.507874549167873,6.460373827772681,6.3281153392157865,6.301336101932016,6.068888444072786,6.035002849122465,6.119197913617533,6.193997144518067,6.071430328745864,6.071430328745864
3I Infotech Consultancy Services Ltd.,2007,TBAG50L80,No,,,,,,,,,0.1,-0.22,0.3,-0.12,0.06,0.07,0.02,-0.57,0.0,0.0,0.0,0.0,-0.01,-0.01,,,,,,,,,0.0,0.22,0.29,0.31,0.32,0.35,0.38,0.31,0.31,0.33,0.0,0.0,0.0,0.0,,,,,,,,,1.97,14.27,8.1,7.17,7.99,3.5,6.75,4.97,5.07,5.9,1.58,2.52,5.18,5.18,,,,,,,,,37.5,80.0,19.01,8.65,2.65,2.01,5.47,-0.49,0.48,-6.17,3.85,5.36,9.75,9.75,,,,,,,,,0.19,8.0,4.36,2.09,1.1,0.71,1.96,-0.17,0.22,-3.95,1.71,2.09,3.76,3.76,,,,,,,,,1.03,1.53,1.62,1.63,1.48,1.5,1.44,1.39,3.3,3.16,3.93,4.62,4.92,4.92,,,,,,,,,0.47,13.45,5.48,3.61,1.18,0.99,2.7,-0.22,0.21,-2.66,2.01,3.7,6.69,6.69,,,,,,,,,0.0,109.79,9.83,20.8,-38.65,14.97,-1.83,5.9,-20.82,-31.35,41.83,19.6,6.39,6.39,,,,,,,,,37.5,38.29,10.17,5.03,1.56,1.2,3.14,-0.28,0.28,-3.55,2.8,5.36,9.75,9.75,,,,,,,,,196.63,4.79,2.32,2.41,1.42,1.65,1.57,1.61,1.28,0.89,1.63,2.56,2.59,2.59,,,,,,,,,0.0,1.1,0.72,0.72,0.69,0.66,0.82,0.74,0.71,0.77,0.0,0.0,0.0,0.0,,,,,,,,,0.35,12.17,3.48,2.62,2.07,-0.58,2.14,0.53,0.39,-4.21,1.73,2.52,4.66,4.66,,,,,,,,,,28.77,2.12,2.12,1.32,1.2,1.73,0.99,1.08,0.71,0.71,0.71,0.71,0.71,,,,,,,,,1.03,1.53,1.62,1.63,1.28,1.5,1.21,1.39,3.3,3.15,3.92,4.57,4.88,4.88,,,,,,,,,196.63,10.0,4.33,4.14,2.41,2.76,2.74,2.88,2.21,1.55,2.24,2.56,2.59,2.59,,,,,,,,,4.859812404361672,6.486160788944089,6.225745842832648,6.23166185298802,6.189700462716007,6.045715961939898,6.160363083569796,6.282827337399335,6.274950327428353,6.240665632741481,5.802420444553201,5.8239330757866625,5.91350300563827,5.91350300563827,,,,,,,,,5.751301990624177,6.492239835020471,6.586033714306832,6.775023566528179,6.286370464649083,6.425840998710567,6.407374913077685,6.464744054800002,6.231268539315299,5.855071922202427,6.20455776256869,6.3835066348840055,6.4454023086669245,6.4454023086669245
3I Infotech Ltd.,1993,TBAG50L80,Yes,,0.13,-0.01,0.01,0.03,0.03,0.1,0.09,0.15,0.07,0.07,-0.02,0.01,-0.02,0.02,0.01,0.04,0.03,0.03,0.04,0.14,0.14,0.63,0.45,0.64,0.67,0.64,0.51,0.56,0.64,0.63,0.62,0.59,0.61,0.5,0.56,0.72,0.38,0.38,0.37,0.32,0.32,0.22,0.22,,43.16,29.09,13.35,16.21,21.19,18.71,16.4,4.85,-5.39,-10.3,-29.45,-15.11,-27.77,-1.72,-3.0,-5.17,-15.6,-16.97,-8.72,-17.29,-17.29,,9.7,8.05,6.39,34.85,23.15,11.42,19.82,26.44,17.15,11.89,-30.23,-41.12,-59.04,-2772.61,-1321.4850000000001,129.64,-138.12,149.21,15.08,-6.19,-6.19,,5.24,2.78,1.78,9.17,13.01,9.75,16.05,19.82,14.72,11.63,-35.41,-68.22,-83.39,-204.03,-84.27,19.1,-21.36,36.19,14.12,-11.31,-11.31,1.05,0.96,0.61,1.09,0.97,3.17,1.19,0.81,0.59,0.3,0.57,1.35,1.29,0.85,0.71,0.53,0.6,0.57,0.64,0.65,0.96,0.96,,2.36,1.66,1.11,5.05,6.05,3.67,5.47,6.47,4.35,3.35,-8.16,-9.46,-9.78,-26.12,-15.07,3.45,-3.53,9.33,1.97,-1.36,-1.36,323.2,246.69,22.25,7.38,7.49,33.33,20.41,34.57,17.88,-0.74,5.15,-6.56,-26.44,-13.68,22.73,-13.88,-19.13,-14.29,19.4,-30.84,5.19,5.19,,2.95,2.18,1.34,6.33,7.4,4.27,6.16,7.35,4.94,3.79,-9.41,-12.12,-13.98,-39.75,-28.24,8.18,-8.42,21.92,4.22,-2.71,-2.71,0.24,0.56,0.77,0.69,0.63,0.53,0.39,0.31,0.25,0.21,0.2,0.17,0.12,0.1,0.15,0.21,0.25,0.22,0.26,0.16,0.16,0.16,2.45,2.07,3.42,4.14,4.86,1.53,1.79,2.5,2.68,2.3,2.01,2.43,2.35,4.82,15.165000000000001,25.51,10.48,31.18,3.03,2.24,0.78,0.78,38.1,13.69,6.92,6.96,6.94,14.14,12.6,20.01,21.0,-10.15,11.78,-35.97,-35.89,-81.04,-204.36,-32.85,18.73,-19.96,37.31,28.7,47.57,47.57,15.52,2.37,0.55,0.93,1.46,3.13,2.27,3.16,3.06,2.2,1.62,1.6900000000000002,1.76,1.83,1.9000000000000001,1.9700000000000002,2.04,3.005,3.97,1.6,0.56,0.56,1.05,0.96,0.6,1.08,0.97,3.17,1.19,0.81,0.59,0.29,0.51,1.32,1.21,0.82,0.69,0.53,0.6,0.57,0.64,0.65,0.96,0.96,0.8,1.83,2.86,3.3,3.48,1.66,1.05,0.99,0.88,0.73,0.62,0.55,0.4,0.44,10.52,-1.69,3.91,3.6,1.78,0.57,0.35,0.35,,8.052678470513497,8.039157390473237,8.20489050378221,8.426765074923505,9.005675041907747,9.35793244824904,9.963707386554683,10.21932696019625,10.290466166864302,10.4073701290354,10.502925521058673,10.71397100230052,10.71196142106575,10.5279596682461,10.244332358384959,10.238483700273974,10.180816212908418,10.20845806495044,10.245313290704654,10.202628718076802,10.202628718076802,,7.2911111015022,7.492035804554969,7.563200592358071,7.635448803294666,7.923094648456425,8.108833899194737,8.405747532102463,8.57024094583831,8.562778224636721,8.612957813400616,8.545119594057077,8.238114007771724,8.09101504171053,8.295848022043407,8.146390345570074,7.934047739403606,7.7798433081765594,7.957142308840869,7.588374308964812,7.63901679165074,7.63901679165074
63 Moons Technologies Ltd.,1988,TBAG80,No,0.04,-0.18,-0.15,0.03,0.08,0.24,0.02,-0.12,0.04,0.04,-0.02,0.1,0.09,0.02,-0.06,-0.05,-0.03,-0.01,-0.04,-0.04,-0.01,-0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.61,0.2,0.19,0.15,0.15,0.17,0.17,0.14,0.14,0.15,0.14,0.03,0.0,0.0,0.0,0.0,46.04,-163.52,7.12,57.64,44.09,63.51,40.26,35.05,52.09,48.52,45.56,57.6,57.71,35.71,-56.71,-61.32,-38.91,3.93,-53.39,-57.83,-31.46,-31.46,23.59,-25.16,1.39,31.65,10.2,32.2,58.03,115.26,22.8,18.17,11.33,21.86,12.04,-9.22,5.14,11.89,3.05,2.62,0.35,0.65,0.21,0.21,29.87,-94.17,2.58,45.18,29.66,47.48,55.18,70.94,50.93,52.4,46.21,56.17,47.42,-38.1,8.21,38.28,20.26,17.07,3.3,6.14,2.51,2.51,6.68,3.51,3.37,1.45,1.52,0.37,4.49,9.91,7.41,4.63,1.41,6.5,5.62,3.48,12.89,7.83,1.4,6.96,15.66,14.47,11.2,11.2,21.74,-21.83,1.09,26.94,9.19,26.22,22.21,70.84,16.55,13.38,8.46,16.29,8.96,-6.91,4.02,9.56,2.46,2.26,0.33,0.62,0.2,0.2,8142.86,-63.26,118.55,93.09,19.41,183.62,12.53,39.95,152.58,-8.03,7.56,18.98,5.95,-25.77,-51.89,-6.23,6.1,46.68,-34.6,-3.34,1.88,1.88,23.59,-25.11,1.35,30.98,10.2,32.2,25.88,76.84,17.95,14.76,9.46,17.96,9.79,-7.63,4.34,10.08,2.59,2.37,0.35,0.65,0.21,0.21,0.73,0.16,0.49,0.68,0.33,0.63,0.26,0.11,0.18,0.14,0.15,0.16,0.15,0.11,0.05,0.05,0.05,0.07,0.05,0.05,0.06,0.06,0.0,0.0,0.08,0.0,0.0,0.0,2.19,0.27,0.27,0.2,0.2,0.24,0.22,0.19,0.17,0.18,0.17,0.04,0.0,0.0,0.0,0.0,33.16,-86.09,15.44,47.45,38.17,58.42,64.88,91.62,65.51,68.34,21.02,59.54,60.95,-29.15,26.48,18.94,18.37,15.77,3.53,-37.7,-23.48,-23.48,,,6.43,91.5,203.39333333333332,315.28666666666663,427.18,114.59,3321.71,22206.0,374.2,21.13,13.41,11.67,9.93,20.16,5.98,18.08,6.14,60.9,19.98,19.98,6.68,3.51,3.37,1.45,1.52,0.37,4.49,9.91,7.41,4.63,1.4,6.48,5.61,3.44,12.77,7.7,1.27,6.68,14.82,13.68,10.67,10.67,0.73,0.16,0.51,0.69,0.33,0.63,0.59,0.17,0.23,0.18,0.17,0.19,0.18,0.13,0.06,0.05,0.06,0.08,0.05,0.05,0.06,0.06,6.243195555274104,6.024173721517687,5.65704021210407,6.437271534499525,7.336676463126643,7.611397196634724,8.869791838534347,9.904786708267748,10.093198407761937,10.21094284008685,10.230053743037875,10.381288825979704,10.49129366169365,10.36904066792066,10.444342741503798,10.450484051115174,10.464844680601267,10.3470413230134,10.308789313970617,10.268432703839387,10.255418260362662,10.255418260362662,5.153869462182164,4.152613470346076,4.9344739331306915,5.592478405097527,5.7698822763607245,6.812345094177479,6.930397009462962,7.266478124538169,8.193040753468544,8.109285101656933,8.182195866577699,8.355967542917016,8.413808500308662,8.115849578267243,7.38417577602395,7.31986492980897,7.379070547652669,7.762128053041303,7.337522679613266,7.303506694902662,7.322114054260421,7.322114054260421
A B B Global Inds. & Services Pvt. Ltd.,2001,TBAG30L50,Yes,,,,,,,0.03,0.0,0.0,0.15,0.1,0.04,0.12,0.14,0.05,0.08,0.14,0.11,0.09,0.04,0.08,0.08,,,,,0.0,0.0,0.83,0.63,0.43,0.36,0.34,0.13,0.07,0.07,0.05,0.04,0.0,0.03,0.06,0.15,0.12,0.12,,,,,,,11.42,13.11,16.76,24.29,19.14,19.08,21.63,20.33,17.76,16.37,13.25,14.48,16.64,12.6,14.68,14.68,,,,,,,34.14,25.68,22.85,40.69,29.05,6.33,20.33,23.78,20.72,18.8,16.87,25.25,27.57,20.82,13.13,13.13,,,,,,,7.1,2.54,4.71,12.58,8.84,3.51,11.15,10.42,9.02,8.46,6.37,7.76,8.96,7.27,5.83,5.83,,,,,1.2,1.77,5.23,0.74,1.65,1.47,1.61,4.31,2.08,1.94,1.7,2.04,1.28,1.33,1.02,0.75,1.09,1.09,,,,,,,3.77,1.64,4.46,12.24,9.64,3.19,11.17,9.96,8.26,7.79,8.33,13.55,14.31,10.07,6.55,6.55,,,,,220.75,37.36,87.22,175.64,122.8,35.17,24.17,-19.89,5.52,1.71,3.99,6.54,30.64,34.65,18.78,6.43,1.42,1.42,,,,,,,4.32,2.13,6.32,17.61,14.1,4.28,17.15,20.44,18.13,17.05,16.16,24.51,25.47,17.13,10.4,10.4,,,,,8.3,4.3,0.6,0.81,1.32,1.39,1.58,1.2,1.52,1.94,1.97,1.99,2.5,3.12,2.82,2.31,1.75,1.75,,,,,0.0,0.0,11.81,10.48,1.5,1.16,0.97,0.2,0.17,0.16,0.13,0.08,0.0,0.05,0.11,0.32,0.23,0.23,,,,,13.42,19.92,7.89,6.5,5.98,15.14,11.5,31.8,17.57,16.42,15.06,13.55,11.26,12.16,13.85,11.34,8.17,8.17,,,,,,137.2,29.06,4.05,3.84,4.47,4.31,9.7,15.11,16.2,20.97,25.55,41.24,39.5,44.59,15.5,7.06,7.06,,,,,1.2,1.77,5.23,0.69,1.47,1.33,1.44,4.2,1.99,1.9,1.66,2.01,1.25,1.32,0.98,0.72,1.09,1.09,,,,,8.3,4.3,4.72,9.74,4.79,3.21,3.26,1.78,1.8,2.25,2.26,2.19,2.61,3.21,3.05,2.81,2.2,2.2,,,,,,,7.718063079315659,8.12370606006748,8.515752153619832,8.691952896002903,8.725491089313943,8.618069668784,8.642132779972057,8.74507748762055,8.817179258324183,8.855791737267458,8.636219897837877,8.86848366507813,9.144884096497567,9.312969159860888,9.583592157719696,9.583592157719696,,,,,,,6.455198563340122,7.4691409283598285,8.270243509470392,8.5716056162548,8.788120686544216,8.566383275606997,8.62007463671688,8.63700084282095,8.67610963976387,8.739424326605423,9.006729803764287,9.304222259529308,9.4763671520071,9.538672424154523,9.552815980814913,9.552815980814913
