Company Name,Inc Year,Delete Flag,Acquisition Flag,2000-Free Cash Flow Return,2001-Free Cash Flow Return,2002-Free Cash Flow Return,2003-Free Cash Flow Return,2004-Free Cash Flow Return,2005-Free Cash Flow Return,2006-Free Cash Flow Return,2007-Free Cash Flow Return,2008-Free Cash Flow Return,2009-Free Cash Flow Return,2010-Free Cash Flow Return,2011-Free Cash Flow Return,2012-Free Cash Flow Return,2013-Free Cash Flow Return,2014-Free Cash Flow Return,2015-Free Cash Flow Return,2016-Free Cash Flow Return,2017-Free Cash Flow Return,2018-Free Cash Flow Return,2019-Free Cash Flow Return,2020-Free Cash Flow Return,2021-Free Cash Flow Return,2000-Current ratio (times),2001-Current ratio (times),2002-Current ratio (times),2003-Current ratio (times),2004-Current ratio (times),2005-Current ratio (times),2006-Current ratio (times),2007-Current ratio (times),2008-Current ratio (times),2009-Current ratio (times),2010-Current ratio (times),2011-Current ratio (times),2012-Current ratio (times),2013-Current ratio (times),2014-Current ratio (times),2015-Current ratio (times),2016-Current ratio (times),2017-Current ratio (times),2018-Current ratio (times),2019-Current ratio (times),2020-Current ratio (times),2021-Current ratio (times),2000-Sales Growth Over Past Year,2001-Sales Growth Over Past Year,2002-Sales Growth Over Past Year,2003-Sales Growth Over Past Year,2004-Sales Growth Over Past Year,2005-Sales Growth Over Past Year,2006-Sales Growth Over Past Year,2007-Sales Growth Over Past Year,2008-Sales Growth Over Past Year,2009-Sales Growth Over Past Year,2010-Sales Growth Over Past Year,2011-Sales Growth Over Past Year,2012-Sales Growth Over Past Year,2013-Sales Growth Over Past Year,2014-Sales Growth Over Past Year,2015-Sales Growth Over Past Year,2016-Sales Growth Over Past Year,2017-Sales Growth Over Past Year,2018-Sales Growth Over Past Year,2019-Sales Growth Over Past Year,2020-Sales Growth Over Past Year,2021-Sales Growth Over Past Year,2000-Quick ratio (times),2001-Quick ratio (times),2002-Quick ratio (times),2003-Quick ratio (times),2004-Quick ratio (times),2005-Quick ratio (times),2006-Quick ratio (times),2007-Quick ratio (times),2008-Quick ratio (times),2009-Quick ratio (times),2010-Quick ratio (times),2011-Quick ratio (times),2012-Quick ratio (times),2013-Quick ratio (times),2014-Quick ratio (times),2015-Quick ratio (times),2016-Quick ratio (times),2017-Quick ratio (times),2018-Quick ratio (times),2019-Quick ratio (times),2020-Quick ratio (times),2021-Quick ratio (times),2000-Return on total assets,2001-Return on total assets,2002-Return on total assets,2003-Return on total assets,2004-Return on total assets,2005-Return on total assets,2006-Return on total assets,2007-Return on total assets,2008-Return on total assets,2009-Return on total assets,2010-Return on total assets,2011-Return on total assets,2012-Return on total assets,2013-Return on total assets,2014-Return on total assets,2015-Return on total assets,2016-Return on total assets,2017-Return on total assets,2018-Return on total assets,2019-Return on total assets,2020-Return on total assets,2021-Return on total assets,2000-Debt to equity ratio (times),2001-Debt to equity ratio (times),2002-Debt to equity ratio (times),2003-Debt to equity ratio (times),2004-Debt to equity ratio (times),2005-Debt to equity ratio (times),2006-Debt to equity ratio (times),2007-Debt to equity ratio (times),2008-Debt to equity ratio (times),2009-Debt to equity ratio (times),2010-Debt to equity ratio (times),2011-Debt to equity ratio (times),2012-Debt to equity ratio (times),2013-Debt to equity ratio (times),2014-Debt to equity ratio (times),2015-Debt to equity ratio (times),2016-Debt to equity ratio (times),2017-Debt to equity ratio (times),2018-Debt to equity ratio (times),2019-Debt to equity ratio (times),2020-Debt to equity ratio (times),2021-Debt to equity ratio (times),2000-Debt to Asset ratio,2001-Debt to Asset ratio,2002-Debt to Asset ratio,2003-Debt to Asset ratio,2004-Debt to Asset ratio,2005-Debt to Asset ratio,2006-Debt to Asset ratio,2007-Debt to Asset ratio,2008-Debt to Asset ratio,2009-Debt to Asset ratio,2010-Debt to Asset ratio,2011-Debt to Asset ratio,2012-Debt to Asset ratio,2013-Debt to Asset ratio,2014-Debt to Asset ratio,2015-Debt to Asset ratio,2016-Debt to Asset ratio,2017-Debt to Asset ratio,2018-Debt to Asset ratio,2019-Debt to Asset ratio,2020-Debt to Asset ratio,2021-Debt to Asset ratio,2000-Return on capital employed,2001-Return on capital employed,2002-Return on capital employed,2003-Return on capital employed,2004-Return on capital employed,2005-Return on capital employed,2006-Return on capital employed,2007-Return on capital employed,2008-Return on capital employed,2009-Return on capital employed,2010-Return on capital employed,2011-Return on capital employed,2012-Return on capital employed,2013-Return on capital employed,2014-Return on capital employed,2015-Return on capital employed,2016-Return on capital employed,2017-Return on capital employed,2018-Return on capital employed,2019-Return on capital employed,2020-Return on capital employed,2021-Return on capital employed,2000-Interest Coverage Ratio,2001-Interest Coverage Ratio,2002-Interest Coverage Ratio,2003-Interest Coverage Ratio,2004-Interest Coverage Ratio,2005-Interest Coverage Ratio,2006-Interest Coverage Ratio,2007-Interest Coverage Ratio,2008-Interest Coverage Ratio,2009-Interest Coverage Ratio,2010-Interest Coverage Ratio,2011-Interest Coverage Ratio,2012-Interest Coverage Ratio,2013-Interest Coverage Ratio,2014-Interest Coverage Ratio,2015-Interest Coverage Ratio,2016-Interest Coverage Ratio,2017-Interest Coverage Ratio,2018-Interest Coverage Ratio,2019-Interest Coverage Ratio,2020-Interest Coverage Ratio,2021-Interest Coverage Ratio,2000-Net profit margin,2001-Net profit margin,2002-Net profit margin,2003-Net profit margin,2004-Net profit margin,2005-Net profit margin,2006-Net profit margin,2007-Net profit margin,2008-Net profit margin,2009-Net profit margin,2010-Net profit margin,2011-Net profit margin,2012-Net profit margin,2013-Net profit margin,2014-Net profit margin,2015-Net profit margin,2016-Net profit margin,2017-Net profit margin,2018-Net profit margin,2019-Net profit margin,2020-Net profit margin,2021-Net profit margin,2000-Invested Capital Turnover,2001-Invested Capital Turnover,2002-Invested Capital Turnover,2003-Invested Capital Turnover,2004-Invested Capital Turnover,2005-Invested Capital Turnover,2006-Invested Capital Turnover,2007-Invested Capital Turnover,2008-Invested Capital Turnover,2009-Invested Capital Turnover,2010-Invested Capital Turnover,2011-Invested Capital Turnover,2012-Invested Capital Turnover,2013-Invested Capital Turnover,2014-Invested Capital Turnover,2015-Invested Capital Turnover,2016-Invested Capital Turnover,2017-Invested Capital Turnover,2018-Invested Capital Turnover,2019-Invested Capital Turnover,2020-Invested Capital Turnover,2021-Invested Capital Turnover,2000-Return on equity,2001-Return on equity,2002-Return on equity,2003-Return on equity,2004-Return on equity,2005-Return on equity,2006-Return on equity,2007-Return on equity,2008-Return on equity,2009-Return on equity,2010-Return on equity,2011-Return on equity,2012-Return on equity,2013-Return on equity,2014-Return on equity,2015-Return on equity,2016-Return on equity,2017-Return on equity,2018-Return on equity,2019-Return on equity,2020-Return on equity,2021-Return on equity,2000-Equity turnover,2001-Equity turnover,2002-Equity turnover,2003-Equity turnover,2004-Equity turnover,2005-Equity turnover,2006-Equity turnover,2007-Equity turnover,2008-Equity turnover,2009-Equity turnover,2010-Equity turnover,2011-Equity turnover,2012-Equity turnover,2013-Equity turnover,2014-Equity turnover,2015-Equity turnover,2016-Equity turnover,2017-Equity turnover,2018-Equity turnover,2019-Equity turnover,2020-Equity turnover,2021-Equity turnover,2000-Pre Tax Margin,2001-Pre Tax Margin,2002-Pre Tax Margin,2003-Pre Tax Margin,2004-Pre Tax Margin,2005-Pre Tax Margin,2006-Pre Tax Margin,2007-Pre Tax Margin,2008-Pre Tax Margin,2009-Pre Tax Margin,2010-Pre Tax Margin,2011-Pre Tax Margin,2012-Pre Tax Margin,2013-Pre Tax Margin,2014-Pre Tax Margin,2015-Pre Tax Margin,2016-Pre Tax Margin,2017-Pre Tax Margin,2018-Pre Tax Margin,2019-Pre Tax Margin,2020-Pre Tax Margin,2021-Pre Tax Margin,2000-Return on sales,2001-Return on sales,2002-Return on sales,2003-Return on sales,2004-Return on sales,2005-Return on sales,2006-Return on sales,2007-Return on sales,2008-Return on sales,2009-Return on sales,2010-Return on sales,2011-Return on sales,2012-Return on sales,2013-Return on sales,2014-Return on sales,2015-Return on sales,2016-Return on sales,2017-Return on sales,2018-Return on sales,2019-Return on sales,2020-Return on sales,2021-Return on sales,2000-Log Total assets,2001-Log Total assets,2002-Log Total assets,2003-Log Total assets,2004-Log Total assets,2005-Log Total assets,2006-Log Total assets,2007-Log Total assets,2008-Log Total assets,2009-Log Total assets,2010-Log Total assets,2011-Log Total assets,2012-Log Total assets,2013-Log Total assets,2014-Log Total assets,2015-Log Total assets,2016-Log Total assets,2017-Log Total assets,2018-Log Total assets,2019-Log Total assets,2020-Log Total assets,2021-Log Total assets,2000-Log Sales,2001-Log Sales,2002-Log Sales,2003-Log Sales,2004-Log Sales,2005-Log Sales,2006-Log Sales,2007-Log Sales,2008-Log Sales,2009-Log Sales,2010-Log Sales,2011-Log Sales,2012-Log Sales,2013-Log Sales,2014-Log Sales,2015-Log Sales,2016-Log Sales,2017-Log Sales,2018-Log Sales,2019-Log Sales,2020-Log Sales,2021-Log Sales
3D P L M Global Services Pvt. Ltd.,2014,TBAG50L80,No,,,,,,,,,,,,,,,-0.12,0.24,0.19,0.25,0.35,0.23,0.3,0.3,,,,,,,,,,,,,,,,1.1,2.85,3.81,2.78,2.81,4.22,4.22,,,,,,,,,,,,,,,,11730.0,64.89,17.84,34.93,31.31,9.35,9.35,,,,,,,,,,,,,,,,1.01,2.68,3.52,2.77,2.78,4.19,4.19,,,,,,,,,,,,,,,,26.28,40.19,38.48,28.3,25.45,11.83,11.83,,,,,,,,,,,,,,,,1.13,0.38,0.2,0.0,0.46,0.34,0.34,,,,,,,,,,,,,,,,0.28,0.22,0.14,0.0,0.26,0.21,0.21,,,,,,,,,,,,,,,,46.45,59.08,47.57,36.29,32.03,14.24,14.24,,,,,,,,,,,,,,,,15.23,224.0,13.9,597.67,9.39,9.23,9.23,,,,,,,,,,,,,,,-133.33,10.18,19.04,22.24,16.75,17.5,10.31,10.31,,,,,,,,,,,,,,,,4.54,3.09,2.08,2.15,1.79,1.37,1.37,,,,,,,,,,,,,,,,83.16,92.94,60.06,39.42,40.63,19.84,19.84,,,,,,,,,,,,,,,,8.13,4.86,2.63,2.34,2.27,1.91,1.91,,,,,,,,,,,,,,,,10.38,18.97,22.58,19.1,17.9,16.43,16.43,,,,,,,,,,,,,,,-133.33,17.53,24.49,26.75,23.43,26.75,24.51,24.51,,,,,,,,,,,,,,,3.4965075614664802,5.494295249789477,5.7477993600729755,6.224954390476336,6.404401670054847,7.014005398824796,7.117124396874507,7.117124396874507,,,,,,,,,,,,,,,1.0986122886681098,5.871836059652451,6.371953669145969,6.536111719349483,6.835722076082305,7.108080460215667,7.197435354096591,7.197435354096591
3I Infotech Consultancy Services Ltd.,2007,TBAG50L80,No,,,,,,,,,0.1,-0.22,0.3,-0.12,0.06,0.07,0.02,-0.57,0.0,0.0,0.0,0.0,-0.01,-0.01,,,,,,,,,1.03,1.53,1.62,1.63,1.48,1.5,1.44,1.39,3.3,3.16,3.93,4.62,4.92,4.92,,,,,,,,,0.0,109.79,9.83,20.8,-38.65,14.97,-1.83,5.9,-20.82,-31.35,41.83,19.6,6.39,6.39,,,,,,,,,1.03,1.53,1.62,1.63,1.28,1.5,1.21,1.39,3.3,3.15,3.92,4.57,4.88,4.88,,,,,,,,,0.47,13.45,5.48,3.61,1.18,0.99,2.7,-0.22,0.21,-2.66,2.01,3.7,6.69,6.69,,,,,,,,,0.0,1.1,0.72,0.72,0.69,0.66,0.82,0.74,0.71,0.77,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.22,0.29,0.31,0.32,0.35,0.38,0.31,0.31,0.33,0.0,0.0,0.0,0.0,,,,,,,,,37.5,38.29,10.17,5.03,1.56,1.2,3.14,-0.28,0.28,-3.55,2.8,5.36,9.75,9.75,,,,,,,,,,28.77,2.12,2.12,1.32,1.2,1.73,0.99,1.08,0.71,0.71,0.71,0.71,0.71,,,,,,,,,0.19,8.0,4.36,2.09,1.1,0.71,1.96,-0.17,0.22,-3.95,1.71,2.09,3.76,3.76,,,,,,,,,196.63,4.79,2.32,2.41,1.42,1.65,1.57,1.61,1.28,0.89,1.63,2.56,2.59,2.59,,,,,,,,,37.5,80.0,19.01,8.65,2.65,2.01,5.47,-0.49,0.48,-6.17,3.85,5.36,9.75,9.75,,,,,,,,,196.63,10.0,4.33,4.14,2.41,2.76,2.74,2.88,2.21,1.55,2.24,2.56,2.59,2.59,,,,,,,,,0.35,12.17,3.48,2.62,2.07,-0.58,2.14,0.53,0.39,-4.21,1.73,2.52,4.66,4.66,,,,,,,,,1.97,14.27,8.1,7.17,7.99,3.5,6.75,4.97,5.07,5.9,1.58,2.52,5.18,5.18,,,,,,,,,4.859812404361672,6.486160788944089,6.225745842832648,6.23166185298802,6.189700462716007,6.045715961939898,6.160363083569796,6.282827337399335,6.274950327428353,6.240665632741481,5.802420444553201,5.8239330757866625,5.91350300563827,5.91350300563827,,,,,,,,,5.751301990624177,6.492239835020471,6.586033714306832,6.775023566528179,6.286370464649083,6.425840998710567,6.407374913077685,6.464744054800002,6.231268539315299,5.855071922202427,6.20455776256869,6.3835066348840055,6.4454023086669245,6.4454023086669245
3I Infotech Ltd.,1993,TBAG50L80,Yes,,0.13,-0.01,0.01,0.03,0.03,0.1,0.09,0.15,0.07,0.07,-0.02,0.01,-0.02,0.02,0.01,0.04,0.03,0.03,0.04,0.14,0.14,1.05,0.96,0.61,1.09,0.97,3.17,1.19,0.81,0.59,0.3,0.57,1.35,1.29,0.85,0.71,0.53,0.6,0.57,0.64,0.65,0.96,0.96,323.2,246.69,22.25,7.38,7.49,33.33,20.41,34.57,17.88,-0.74,5.15,-6.56,-26.44,-13.68,22.73,-13.88,-19.13,-14.29,19.4,-30.84,5.19,5.19,1.05,0.96,0.6,1.08,0.97,3.17,1.19,0.81,0.59,0.29,0.51,1.32,1.21,0.82,0.69,0.53,0.6,0.57,0.64,0.65,0.96,0.96,,2.36,1.66,1.11,5.05,6.05,3.67,5.47,6.47,4.35,3.35,-8.16,-9.46,-9.78,-26.12,-15.07,3.45,-3.53,9.33,1.97,-1.36,-1.36,2.45,2.07,3.42,4.14,4.86,1.53,1.79,2.5,2.68,2.3,2.01,2.43,2.35,4.82,15.165000000000001,25.51,10.48,31.18,3.03,2.24,0.78,0.78,0.63,0.45,0.64,0.67,0.64,0.51,0.56,0.64,0.63,0.62,0.59,0.61,0.5,0.56,0.72,0.38,0.38,0.37,0.32,0.32,0.22,0.22,,2.95,2.18,1.34,6.33,7.4,4.27,6.16,7.35,4.94,3.79,-9.41,-12.12,-13.98,-39.75,-28.24,8.18,-8.42,21.92,4.22,-2.71,-2.71,15.52,2.37,0.55,0.93,1.46,3.13,2.27,3.16,3.06,2.2,1.62,1.6900000000000002,1.76,1.83,1.9000000000000001,1.9700000000000002,2.04,3.005,3.97,1.6,0.56,0.56,,5.24,2.78,1.78,9.17,13.01,9.75,16.05,19.82,14.72,11.63,-35.41,-68.22,-83.39,-204.03,-84.27,19.1,-21.36,36.19,14.12,-11.31,-11.31,0.24,0.56,0.77,0.69,0.63,0.53,0.39,0.31,0.25,0.21,0.2,0.17,0.12,0.1,0.15,0.21,0.25,0.22,0.26,0.16,0.16,0.16,,9.7,8.05,6.39,34.85,23.15,11.42,19.82,26.44,17.15,11.89,-30.23,-41.12,-59.04,-2772.61,-1321.4850000000001,129.64,-138.12,149.21,15.08,-6.19,-6.19,0.8,1.83,2.86,3.3,3.48,1.66,1.05,0.99,0.88,0.73,0.62,0.55,0.4,0.44,10.52,-1.69,3.91,3.6,1.78,0.57,0.35,0.35,38.1,13.69,6.92,6.96,6.94,14.14,12.6,20.01,21.0,-10.15,11.78,-35.97,-35.89,-81.04,-204.36,-32.85,18.73,-19.96,37.31,28.7,47.57,47.57,,43.16,29.09,13.35,16.21,21.19,18.71,16.4,4.85,-5.39,-10.3,-29.45,-15.11,-27.77,-1.72,-3.0,-5.17,-15.6,-16.97,-8.72,-17.29,-17.29,,8.052678470513497,8.039157390473237,8.20489050378221,8.426765074923505,9.005675041907747,9.35793244824904,9.963707386554683,10.21932696019625,10.290466166864302,10.4073701290354,10.502925521058673,10.71397100230052,10.71196142106575,10.5279596682461,10.244332358384959,10.238483700273974,10.180816212908418,10.20845806495044,10.245313290704654,10.202628718076802,10.202628718076802,,7.2911111015022,7.492035804554969,7.563200592358071,7.635448803294666,7.923094648456425,8.108833899194737,8.405747532102463,8.57024094583831,8.562778224636721,8.612957813400616,8.545119594057077,8.238114007771724,8.09101504171053,8.295848022043407,8.146390345570074,7.934047739403606,7.7798433081765594,7.957142308840869,7.588374308964812,7.63901679165074,7.63901679165074
A B M Knowledgeware Ltd.,1993,TBAG50L80,No,0.02,-0.13,0.06,-0.09,0.0,-0.07,0.08,0.12,0.41,0.03,-0.13,0.08,0.05,0.07,0.07,0.25,0.08,-0.09,0.24,0.04,0.13,0.13,0.61,4.27,3.46,3.55,3.85,6.66,1.52,2.16,1.77,2.38,1.83,2.66,3.88,2.82,3.16,7.11,2.21,3.11,6.48,4.62,4.82,4.82,,220.92,-17.35,-35.03,3.21,-6.57,253.89,62.48,42.38,-4.55,37.42,75.39,-26.83,8.84,11.99,-4.02,25.97,-34.69,-10.26,11.98,19.52,19.52,0.6,4.09,3.45,3.54,3.85,6.65,1.52,2.16,1.77,2.38,1.83,2.66,3.82,2.82,3.16,7.11,2.2,2.98,5.81,4.09,4.51,4.51,16.25,4.68,2.03,2.61,0.84,2.11,8.27,28.26,17.38,16.47,20.98,24.15,17.33,16.34,15.93,15.6,11.55,7.14,8.16,7.8,8.95,8.95,0.06,0.22,0.08,0.14,0.04,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.06,0.1,0.03,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.29,5.54,2.27,3.05,1.01,2.43,11.39,47.45,32.81,29.5,34.53,37.03,23.37,22.0,21.49,18.8,15.63,10.29,10.34,9.46,11.03,11.03,,22.2,18.85,15.5,12.15,8.8,43.0,57.416666666666664,71.83333333333333,86.25,1583.0,2272.0,929.5,1050.5,1171.5,1292.5,1413.5,1413.5,1413.5,1413.5,1413.5,1413.5,12.66,5.71,3.05,5.7,1.69,4.32,6.21,19.92,13.17,15.87,17.93,15.01,16.68,17.44,18.39,19.86,16.3,19.4,23.05,20.22,21.49,21.49,1.42,0.93,0.72,0.52,0.58,0.55,1.81,2.35,2.45,1.81,1.89,2.44,1.38,1.24,1.15,0.93,0.93,0.51,0.42,0.44,0.49,0.49,19.14,6.23,2.6,3.37,1.1,2.59,12.38,48.99,32.81,29.5,34.6,37.09,23.37,22.0,21.49,18.8,15.63,10.29,10.34,9.46,11.03,11.03,1.48,1.05,0.83,0.57,0.63,0.58,1.97,2.42,2.45,1.81,1.9,2.44,1.38,1.24,1.15,0.93,0.93,0.51,0.42,0.44,0.49,0.49,15.53,9.76,6.43,9.14,2.87,7.01,10.5,30.36,20.01,23.63,26.84,21.79,24.59,26.38,28.46,30.12,25.08,25.98,32.37,24.99,28.4,28.4,18.09,10.74,12.3,11.61,5.54,22.04,14.91,32.56,19.25,22.84,26.33,22.17,25.93,26.2,29.46,31.84,25.77,27.38,33.57,23.69,27.26,27.26,4.794963757620747,4.923623917106626,4.875960390769654,4.808111029984782,4.751000634199631,4.71760561531788,5.183467524869095,5.583872177983643,6.028760331851679,6.038109554931026,6.377746835799372,6.5391523356065395,6.633581556555148,6.906954958811368,7.029087564149662,7.029087564149662,7.624716637641337,7.589133475942083,7.532837728627953,7.638342742515928,7.739141503765848,7.739141503765848,4.754451888703846,4.647271362006727,4.456670177669648,4.02535169073515,4.056988775678332,3.9889840465642745,5.252796851246227,5.738183901373533,6.091536100832197,6.045005314036012,6.362855674882395,6.924710719631551,6.612309815912522,6.697034247666484,6.810252697620898,6.769182629118197,7.000060949766163,6.574099073620405,6.465833633863357,6.5789733956449306,6.757281165627302,6.757281165627302
A S M Technologies Ltd.,1992,TBAG50L80,No,0.2,0.09,0.02,0.06,0.17,0.02,0.1,0.05,0.06,0.09,0.2,0.03,0.06,-0.03,0.02,0.0,0.38,0.01,0.01,-0.11,0.09,0.09,1.21,0.97,0.72,0.9,1.07,1.6,1.46,1.39,1.47,1.64,1.49,1.72,1.88,1.87,1.74,2.08,12.39,4.95,4.0,3.35,2.53,2.53,106.77,-38.79,-56.05,35.42,136.99,44.2,15.42,34.93,14.74,-7.44,45.66,14.13,27.38,15.22,4.8,-42.38,17.68,2.68,1.29,8.64,35.04,35.04,1.0,0.79,0.68,0.9,1.07,1.6,1.46,1.39,1.47,1.64,1.49,1.7,1.87,1.87,1.27,0.82,8.36,3.67,2.86,2.23,1.81,1.81,0.76,-8.12,-26.53,-14.59,4.56,12.8,7.83,18.65,15.13,12.9,19.33,16.57,16.84,14.7,11.74,-2.95,8.2,4.69,7.16,1.23,12.77,12.77,0.81,0.9,1.35,2.68,1.78,1.5,1.09,0.66,0.63,0.36,0.27,0.44,0.41,0.48,0.52,0.3,0.01,0.15,0.16,0.27,0.38,0.38,0.32,0.32,0.34,0.47,0.46,0.47,0.37,0.26,0.28,0.18,0.14,0.24,0.23,0.26,0.28,0.18,0.01,0.1,0.11,0.16,0.21,0.21,0.97,-11.45,-41.43,-23.61,6.73,16.92,10.54,27.73,21.91,18.2,29.11,23.09,21.27,18.17,14.35,-3.67,10.79,6.38,9.41,1.6,16.73,16.73,1.13,2.96,4.789999999999999,6.619999999999999,8.45,6.66,5.67,6.61,5.49,5.85,7.24,7.31,7.0,7.35,4.49,0.42,9.63,33.45,13.92,3.44,10.5,10.5,0.47,-9.14,-66.84,-25.98,3.05,6.16,3.98,9.01,8.13,8.42,10.62,9.98,9.73,9.27,8.7,-4.12,9.12,4.67,7.39,1.24,11.49,11.49,1.83,1.19,0.6,0.9,2.19,2.72,2.6,3.03,2.68,2.15,2.72,2.26,2.14,1.92,1.63,0.86,1.17,1.33,1.22,1.23,1.41,1.41,1.86,-21.2,-86.06,-67.69,21.4,44.11,23.94,50.65,35.98,26.96,38.05,31.52,30.24,26.29,21.56,-5.16,12.57,6.9,10.86,1.93,22.18,22.18,3.52,2.21,1.24,2.57,6.98,7.09,5.91,5.53,4.4,3.18,3.56,3.08,3.05,2.78,2.44,1.2,1.36,1.45,1.4,1.49,1.87,1.87,0.38,-8.16,-34.44,-15.57,9.11,6.93,8.88,11.24,9.94,9.1,13.1,13.75,13.34,13.1,10.32,23.61,13.07,9.16,11.55,2.78,14.74,14.74,5.05,9.59,-23.43,-1.85,14.1,9.82,10.85,13.23,13.52,12.53,16.54,15.22,15.21,14.7,15.27,0.81,15.5,9.0,9.27,3.91,16.27,16.27,5.01926462079431,5.01926462079431,4.955827057601261,4.872904620630176,4.705015520957808,4.9494688588587685,5.123368564083496,5.4289069362516384,5.605066501717044,5.674010316322531,5.986452005284438,6.175659348283617,6.375024819828097,6.6293632534374485,6.78975972074443,6.847686752516018,6.596053700686136,6.707839853787134,6.743352222690527,6.832169292025542,7.068001628124234,7.068001628124234,5.336576078665127,4.845760650906022,4.023564380161053,4.3267781604434035,5.1896179496246955,5.5556690891919835,5.69910488510509,5.998688392197302,6.1362140309941795,6.0588895234227715,6.435027943814805,6.567234859514355,6.809260032233038,6.950910549296065,6.997778781629726,6.446513155404975,6.60934924316738,6.635815313478964,6.648595873463558,6.731495313566778,7.03191792160256,7.03191792160256
Accedere Ltd.,1983,TBAG50L80,No,,0.0,0.006666666666666667,0.013333333333333334,0.02,0.015,0.01,0.0,0.0,-0.02,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.04,0.16,0.07,0.17,0.17,,,19.19,16.77,53.0,73.2,28.23,366.0,367.0,366.0,390.0,87.2,40.89,23.44,22.12,23.44,62.67,17.59,8.51,8.71,8.54,8.54,,,-8.11,2.94,8.57,-73.68,110.0,28.57,-29.63,-47.37,-10.0,388.89,-63.64,-68.75,120.0,-36.36,-28.57,1220.0,131.82,-49.67,-28.57,-28.57,,,19.19,16.77,53.0,73.2,28.23,366.0,367.0,366.0,366.0,73.8,40.89,23.44,22.12,23.44,62.67,17.59,8.51,8.71,8.54,8.54,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.23,0.0,0.0,0.0,0.0,-4.24,0.44,0.63,-0.63,0.22,0.22,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0.01,0.01,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.24,0.0,0.0,0.0,0.0,-4.41,0.47,0.71,-0.71,0.24,0.24,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135,2.27,0.0,0.0,0.0,0.0,-380.0,3.03,1.9,-3.75,1.75,1.75,,,0.08,0.08,0.09,0.02,0.05,0.07,0.05,0.02,0.02,0.1,0.04,0.01,0.03,0.02,0.01,0.16,0.36,0.18,0.13,0.13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.24,0.0,0.0,0.0,0.0,-4.5,0.48,0.72,-0.72,0.24,0.24,,,0.08,0.09,0.09,0.02,0.05,0.07,0.05,0.02,0.02,0.1,0.04,0.01,0.03,0.02,0.01,0.16,0.37,0.18,0.13,0.13,,,0.0,0.0,0.0,0.0,0.0,3.7,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-380.0,3.03,2.53,-5.0,1.72,1.72,,8.11,7.159999999999999,6.21,5.26,7.39,9.52,7.41,5.26,10.0,7.275,4.55,6.25,20.0,36.36,42.86,60.0,34.85,16.99,25.97,34.55,34.55,,3.763522997109702,3.75497925581846,3.7463618895272988,3.7376696182833684,3.744787086052232,3.751854253275325,3.7256934272366524,3.7256934272366524,3.7256934272366524,3.751854253275325,3.7773481021015445,3.7864597824528,3.8022081394209395,3.8044377947482086,3.8022081394209395,3.8044377947482086,3.8308129500026027,3.885679030088544,3.8501476017100584,3.8264651170664994,3.8264651170664994,,1.308332819650179,1.3173014896329391,1.3261904370501851,1.33500106673234,1.0818051703517284,0.7419373447293773,0.9932517730102834,0.6418538861723947,0.0,0.9932517730102834,1.4816045409242156,0.47000362924573563,-0.6931471805599453,0.09531017980432493,-0.35667494393873245,-0.6931471805599453,1.8870696490323797,2.72785282839839,2.0412203288596382,1.7047480922384253,1.7047480922384253
